issue_type,latitude,longitude,date,data_source
Nuisance,32.3116843,-86.2590895,2021/1/11 17:33,311_Service_Request
Nuisance,32.3112515,-86.2589073,2021/1/11 17:34,311_Service_Request
Nuisance,32.3062929,-86.2577407,2021/1/11 17:34,311_Service_Request
Nuisance,32.394455,-86.2647026,2021/1/11 18:19,311_Service_Request
Clean Inlets,32.3228408,-86.2878895,2021/1/11 18:45,311_Service_Request
Clean Inlets,32.3197505,-86.2850781,2021/1/11 18:47,311_Service_Request
Clean Inlets,32.3243559,-86.2862985,2021/1/11 18:49,311_Service_Request
Clean Inlets,32.3189216,-86.2843586,2021/1/11 18:50,311_Service_Request
Clean Inlets,32.3209025,-86.2832701,2021/1/11 18:51,311_Service_Request
Clean Inlets,32.3245506,-86.2943373,2021/1/11 18:52,311_Service_Request
Clean Inlets,32.3191681,-86.2891419,2021/1/11 18:53,311_Service_Request
Clean Inlets,32.3204745,-86.2893036,2021/1/11 18:53,311_Service_Request
Clean Inlets,32.320396,-86.2881881,2021/1/11 18:54,311_Service_Request
Nuisance,32.3627982,-86.365296,2021/1/11 20:29,311_Service_Request
Nuisance,32.3810074,-86.2558775,2021/1/11 21:29,311_Service_Request
Nuisance,32.3927543,-86.215671,2021/1/12 14:35,311_Service_Request
Nuisance,32.3596751,-86.3199478,2021/1/12 15:09,311_Service_Request
Clean Inlets,32.3902698,-86.2491972,2021/1/12 16:21,311_Service_Request
Nuisance,32.330729,-86.3143606,2021/1/12 17:56,311_Service_Request
Nuisance,32.3866318,-86.2774142,2021/1/12 21:12,311_Service_Request
Clean Inlets,32.3391995,-86.2947609,2021/1/12 21:32,311_Service_Request
Nuisance,32.3689679,-86.3082952,2021/1/13 16:06,311_Service_Request
Nuisance,32.3233653,-86.3075046,2021/1/13 16:48,311_Service_Request
Nuisance,32.3160719,-86.2602077,2021/1/13 17:03,311_Service_Request
Nuisance,32.3675218,-86.2723775,2021/1/13 17:11,311_Service_Request
Nuisance,32.4139009,-86.2820538,2021/1/13 17:42,311_Service_Request
Nuisance,32.4153907,-86.2802389,2021/1/13 17:44,311_Service_Request
Clean Inlets,32.3734586,-86.3184919,2021/1/13 18:06,311_Service_Request
Nuisance,32.3959422,-86.193789,2021/1/13 20:53,311_Service_Request
Nuisance,32.3431799,-86.3160051,2021/1/14 13:16,311_Service_Request
Nuisance,32.3563183,-86.3170156,2021/1/14 15:30,311_Service_Request
Nuisance,32.3923757,-86.2683717,2021/1/14 17:09,311_Service_Request
Nuisance,32.4297176,-86.2836465,2021/1/14 17:21,311_Service_Request
Clean Inlets,32.354996,-86.1755534,2021/1/14 19:19,311_Service_Request
Nuisance,32.3907724,-86.2980314,2021/1/14 20:19,311_Service_Request
Nuisance,32.407345,-86.274529,2021/1/15 14:34,311_Service_Request
Nuisance,32.4073468,-86.2755503,2021/1/15 14:37,311_Service_Request
Nuisance,32.4069409,-86.2752727,2021/1/15 14:40,311_Service_Request
Nuisance,32.3673573,-86.2788021,2021/1/15 17:23,311_Service_Request
Nuisance,32.3338121,-86.2253978,2021/1/15 18:46,311_Service_Request
Nuisance,32.3406961,-86.2175371,2021/1/15 18:47,311_Service_Request
Nuisance,32.3829642,-86.2876845,2021/1/15 19:51,311_Service_Request
Clean Inlets,32.391617,-86.225313,2021/1/15 20:45,311_Service_Request
Clean Inlets,32.3445341,-86.252716,2021/1/15 21:55,311_Service_Request
Nuisance,32.3880006,-86.2504405,2021/1/16 5:44,311_Service_Request
Nuisance,32.3859458,-86.2511944,2021/1/16 5:45,311_Service_Request
Nuisance,32.342714,-86.2348051,2021/1/18 16:07,311_Service_Request
General Sanitation Inquiry,32.34381,-86.403022,2021/1/18 17:53,311_Service_Request
Nuisance,32.3915094,-86.2607358,2021/1/19 12:55,311_Service_Request
Clean Inlets,32.3886976,-86.2712137,2021/1/19 12:57,311_Service_Request
Clean Inlets,32.3885295,-86.2684923,2021/1/19 13:05,311_Service_Request
Clean Inlets,32.3856399,-86.2699368,2021/1/19 13:08,311_Service_Request
Clean Inlets,32.3756502,-86.1708445,2021/1/19 14:19,311_Service_Request
Nuisance,32.3626193,-86.3208591,2021/1/19 14:57,311_Service_Request
Nuisance,32.3626193,-86.3208591,2021/1/19 14:59,311_Service_Request
General Sanitation Inquiry,32.3375493,-86.281459,2021/1/19 18:35,311_Service_Request
General Sanitation Inquiry,32.3868247,-86.3000136,2021/1/19 20:09,311_Service_Request
Clean Inlets,32.3258515,-86.3108733,2021/1/19 20:50,311_Service_Request
Clean Inlets,32.3256927,-86.3098383,2021/1/19 20:52,311_Service_Request
Nuisance,32.3204639,-86.2389724,2021/1/19 21:06,311_Service_Request
Nuisance,32.3820463,-86.2898252,2021/1/19 21:19,311_Service_Request
Clean Inlets,32.375034,-86.161907,2021/1/19 21:20,311_Service_Request
Nuisance,32.3900365,-86.2490518,2021/1/19 21:23,311_Service_Request
Clean Inlets,32.3601419,-86.2904399,2021/1/19 21:38,311_Service_Request
Nuisance,32.3820463,-86.2898252,2021/1/19 21:57,311_Service_Request
Nuisance,32.3841624,-86.2761055,2021/1/19 23:19,311_Service_Request
Nuisance,32.3436329,-86.2381985,2021/1/20 0:48,311_Service_Request
Nuisance,32.2936331,-86.2559157,2021/1/20 13:10,311_Service_Request
Nuisance,32.2929007,-86.2559015,2021/1/20 13:12,311_Service_Request
Nuisance,32.3101479,-86.2233434,2021/1/20 21:32,311_Service_Request
General Sanitation Inquiry,32.3375493,-86.281459,2021/1/20 21:39,311_Service_Request
Clean Inlets,32.3911247,-86.2658646,2021/1/21 12:54,311_Service_Request
Clean Inlets,32.3895373,-86.2672809,2021/1/21 12:56,311_Service_Request
Nuisance,32.3598761,-86.3207799,2021/1/21 14:01,311_Service_Request
Nuisance,32.3397017,-86.2323057,2021/1/21 14:10,311_Service_Request
Nuisance,32.3497604,-86.2227578,2021/1/21 14:11,311_Service_Request
Clean Inlets,32.3301333,-86.2758675,2021/1/21 14:46,311_Service_Request
Nuisance,32.3712988,-86.2960616,2021/1/21 15:46,311_Service_Request
Nuisance,32.4021606,-86.2630168,2021/1/21 17:30,311_Service_Request
Nuisance,32.3998142,-86.2643655,2021/1/21 17:31,311_Service_Request
Nuisance,32.4010496,-86.261311,2021/1/21 17:32,311_Service_Request
Clean Inlets,32.4009697,-86.2589363,2021/1/21 17:37,311_Service_Request
Nuisance,32.316621,-86.2450838,2021/1/21 17:55,311_Service_Request
Nuisance,32.3196053,-86.2932539,2021/1/21 18:08,311_Service_Request
Clean Inlets,32.3571619,-86.302734,2021/1/21 18:50,311_Service_Request
Clean Inlets,32.3923582,-86.2677767,2021/1/21 18:52,311_Service_Request
Nuisance,32.3420993,-86.2208522,2021/1/21 19:18,311_Service_Request
Nuisance,32.339045,-86.317845,2021/1/21 21:19,311_Service_Request
Nuisance,32.338984,-86.3184421,2021/1/21 21:22,311_Service_Request
Clean Inlets,32.4219741,-86.2264696,2021/1/21 21:58,311_Service_Request
Nuisance,32.3598761,-86.3207799,2021/1/22 12:54,311_Service_Request
General Sanitation Inquiry,32.3849283,-86.276254,2021/1/22 14:13,311_Service_Request
Clean Inlets,32.3717375,-86.2771079,2021/1/22 14:40,311_Service_Request
Clean Inlets,32.3465767,-86.316471,2021/1/22 15:57,311_Service_Request
General Sanitation Inquiry,32.337007,-86.240328,2021/1/22 16:36,311_Service_Request
General Sanitation Inquiry,32.3448511,-86.1944727,2021/1/22 16:53,311_Service_Request
Nuisance,32.4173964,-86.2867326,2021/1/22 17:23,311_Service_Request
Nuisance,32.3629309,-86.3019755,2021/1/22 17:36,311_Service_Request
Nuisance,32.332687,-86.304011,2021/1/22 17:53,311_Service_Request
Nuisance,32.3155162,-86.2593077,2021/1/22 21:05,311_Service_Request
Nuisance,32.3387051,-86.2997755,2021/1/25 13:29,311_Service_Request
Nuisance,32.3206329,-86.212532,2021/1/25 13:47,311_Service_Request
Nuisance,32.4278666,-86.2791987,2021/1/25 13:48,311_Service_Request
Nuisance,32.3748485,-86.3135781,2021/1/25 14:16,311_Service_Request
